,product_id,category_id
3544,668,2
3545,668,28
3546,669,36
3547,669,11
3548,669,32
3549,670,11
3550,670,20
3551,670,41
3552,671,1
3553,671,62
3554,671,2
3555,672,11
3556,672,75
3557,672,20
3558,673,48
3559,673,8
3560,673,11
3561,674,5
3562,674,29
3563,674,54
3564,675,6
3565,675,16
3566,675,20
3567,676,54
3568,676,66
3569,676,34
3570,677,16
3571,677,33
3572,677,52
3573,678,54
3574,678,34
3575,678,31
3576,679,17
3577,679,5
3578,679,52
3579,680,11
3580,680,44
3581,680,53
3582,681,36
3583,681,11
3584,681,32
3585,682,30
3586,682,1
3587,682,46
3588,683,8
3589,683,30
3590,683,49
3591,684,41
3592,684,16
3593,684,29
3594,685,62
3595,685,2
3596,685,27
3597,686,18
3598,686,49
3599,686,76
3600,687,34
3601,687,2
3602,687,36
3605,687,7
3609,688,48
3610,688,2
3611,688,8
3615,689,30
3616,689,45
3617,689,7
3624,690,1
3625,690,2
3626,690,3
3633,691,32
3634,691,4
3635,691,20
3642,692,28
3643,692,37
3644,692,25
3651,693,20
3652,693,32
3653,693,33
3656,693,18
3660,694,17
3661,694,32
3662,694,5
3663,695,49
3664,695,18
3665,695,62
3666,696,49
3667,696,18
3668,696,62
3669,697,17
3670,697,10
3671,697,5
3674,697,19
3675,698,23
3676,698,66
3677,698,54
3679,698,31
3687,699,31
3688,699,69
3689,699,43
3691,699,51
3693,700,43
3694,700,2
3695,700,49
3702,701,32
3703,701,31
3704,701,20
3707,701,39
3708,702,39
3709,702,32
3710,702,66
3711,703,17
3712,703,42
3713,703,31
3714,751,20
3715,751,11
3716,751,19
3717,752,29
3718,752,13
3719,752,38
3722,752,58
3726,753,16
3727,753,11
3728,753,13
3729,754,54
3730,754,16
3731,754,6
3732,755,5
3733,755,51
3734,755,20
3735,756,5
3736,756,29
3737,756,20
3738,757,5
3739,757,51
3740,757,34
3741,758,13
3742,758,14
3743,758,20
3744,759,47
3745,759,27
3746,759,67
3747,760,20
3748,760,5
3749,760,14
3750,761,29
3751,761,14
3752,761,39
3753,762,39
3754,762,29
3755,762,38
3759,763,17
3760,763,42
3761,763,31
3762,764,19
3763,764,13
3764,764,32
3768,765,47
3769,765,38
3770,765,23
3771,765,18
3772,765,27
3777,766,2
3778,766,50
3779,766,1
3782,766,52
3785,766,32
3786,767,20
3787,767,34
3788,767,19
3789,768,50
3790,768,52
3791,768,32
3794,768,14
3810,769,5
3811,769,17
3812,769,4
3813,770,20
3814,770,14
3815,770,30
3816,771,41
3817,771,7
3818,771,56
3824,771,54
3826,771,26
3828,772,59
3829,772,35
3830,772,62
3831,773,21
3832,773,19
3833,773,9
3835,773,1
3836,773,64
3837,774,13
3838,774,53
3839,774,54
3840,775,14
3841,775,9
3842,775,30
3846,776,5
3847,776,20
3848,776,31
3849,777,49
3850,777,18
3851,777,62
3852,919,16
3853,919,51
3854,919,66
3855,920,15
3856,920,30
3857,920,14
3858,921,42
3859,921,33
3860,921,15
3861,922,39
3862,922,32
3863,922,7
3864,923,41
3865,923,16
3866,923,54
3867,924,26
3868,924,39
3869,924,64
3872,924,29
3891,925,43
3892,925,58
3893,925,13
3896,925,18
3897,926,1
3898,926,19
3899,926,21
3900,927,38
3901,927,4
3902,927,20
3903,928,43
3904,928,13
3905,928,33
3906,929,32
3907,929,22
3908,929,4
3911,929,8
3912,930,20
3913,930,39
3914,930,32
3915,931,33
3916,931,14
3917,931,20
3923,931,52
3926,931,16
3927,932,4
3928,932,40
3929,932,51
3930,933,20
3931,933,34
3932,933,19
3945,934,41
3946,934,60
3947,934,16
3948,935,39
3949,935,4
3950,935,32
3956,935,30
3974,935,14
3977,935,66
3981,936,39
3982,936,62
3983,936,4
3986,936,38
3987,937,16
3988,937,45
3989,937,25
3990,938,67
3991,938,6
3992,938,11
3995,938,18
3996,939,17
3997,939,51
3998,939,43
3999,940,50
4000,940,32
4001,940,74
4005,941,5
4006,941,29
4007,941,51
4008,942,39
4009,942,32
4010,942,38
4028,942,66
4035,943,39
4036,943,32
4037,943,26
4038,944,39
4039,944,32
4040,944,4
4041,945,41
4042,945,26
4043,945,29
4046,945,39
4068,946,62
4069,946,2
4070,946,36
4071,947,62
4072,947,2
4073,947,1
4074,948,7
4075,948,4
4076,948,62
4077,949,39
4078,949,45
4079,949,18
4080,950,32
4081,950,2
4082,950,39
4083,951,30
4084,951,4
4085,951,46
4086,952,39
4087,952,45
4088,952,18
4089,953,47
4090,953,2
4091,953,45
4092,954,18
4093,954,45
4094,954,39
4095,955,39
4096,955,45
4097,955,18
4098,956,45
4099,956,72
4100,956,38
4101,957,45
4102,957,72
4103,957,38
4104,958,38
4105,958,36
4106,958,45
4107,959,38
4108,959,36
4109,959,45
4110,960,2
4111,960,8
4112,960,51
4113,961,32
4114,961,52
4115,961,39
4116,962,32
4117,962,1
4118,962,69
4119,963,49
4120,963,47
4121,963,4
4122,964,4
4123,964,1
4124,964,21
4125,965,51
4126,965,47
4127,965,43
4128,966,31
4129,966,47
4130,966,18
4134,967,17
4135,967,18
4136,967,6
4137,968,17
4138,968,18
4139,968,6
4140,969,17
4141,969,18
4142,969,6
4143,970,17
4144,970,18
4145,970,6
4146,971,17
4147,971,18
4148,971,6
4149,972,47
4150,972,67
4151,972,40
4152,973,7
4153,973,30
4154,973,4
4155,974,4
4156,974,8
4157,974,45
4158,975,7
4159,975,2
4160,975,36
4161,975,19
4162,975,53
4164,976,36
4165,976,20
4166,976,38
4167,977,36
4168,977,11
4169,977,69
4170,978,32
4171,978,2
4172,978,43
4173,979,20
4174,979,21
4175,979,54
4176,980,20
4177,980,34
4178,980,54
4179,981,5
4180,981,20
4181,981,21
4182,982,20
4183,982,19
4184,982,21
4185,983,20
4186,983,21
4187,983,14
4188,984,33
4189,984,5
4190,984,49
4191,985,17
4192,985,19
4193,985,18
4194,986,49
4195,986,18
4196,986,62
4197,987,11
4198,987,75
4199,987,30
4200,988,20
4201,988,38
4202,988,39
4205,988,19
4206,989,56
4207,989,5
4208,989,24
4212,990,50
4213,990,52
4214,990,32
4239,991,17
4240,991,2
4241,991,49
4242,992,17
4243,992,20
4244,992,18
4245,993,17
4246,993,18
4247,993,6
4248,994,17
4249,994,18
4250,994,6
4251,995,17
4252,995,18
4253,995,6
4254,996,17
4255,996,18
4256,996,6
4257,997,17
4258,997,18
4259,997,6
4260,998,64
4261,998,32
4262,998,1
4263,999,22
4264,999,14
4265,999,38
4266,1000,27
4267,1000,20
4268,1000,19
4269,1001,41
4270,1001,33
4271,1001,16
4272,1002,49
4273,1002,18
4274,1002,62
4275,1003,39
4276,1003,32
4277,1003,34
4278,1004,33
4279,1004,16
4280,1004,43
4281,1005,12
4282,1005,10
4283,1005,40
4286,1005,23
4289,1005,26
4292,1005,70
4293,1006,4
4294,1006,40
4295,1006,39
4296,1007,45
4297,1007,30
4298,1007,39
4299,1008,52
4300,1008,50
4301,1008,4
4304,1008,39
4305,1009,39
4306,1009,32
4307,1009,43
4308,1010,32
4309,1010,39
4310,1010,4
4317,1011,5
4318,1011,69
4319,1011,11
4320,1012,30
4321,1012,2
4322,1012,46
4323,1013,39
4324,1013,32
4325,1013,4
4326,1014,5
4327,1014,20
4328,1014,18
4329,1015,5
4330,1015,19
4331,1015,3
4335,1016,17
4336,1016,33
4337,1016,18
4338,1017,17
4339,1017,2
4340,1017,49
4341,1018,20
4342,1018,4
4343,1018,30
4346,1018,39
4347,1019,47
4348,1019,2
4349,1019,35
