quantity,product_id,fs_receipt_id
1.0,440,46
10.0,441,46
2.0,442,46
0.994,444,46
1.0,445,46
1.0,97,46
1.0,446,46
1.294,447,46
4.0,448,46
1.0,477,47
1.0,478,48
3.0,479,48
3.0,480,48
3.0,480,48
2.0,481,48
1.0,482,48
2.0,483,48
1.0,484,48
1.0,485,48
1.0,486,48
1.0,487,48
1.0,488,49
2.0,490,49
1.0,492,49
1.29,493,49
4.0,495,49
1.0,497,49
1.0,384,49
2.0,378,49
6.0,501,49
2.0,503,49
1.0,504,49
1.0,506,49
1.406,508,49
1.0,510,49
0.634,512,49
1.4,514,49
1.0,516,49
5.0,374,49
1.0,518,49
5.0,390,49
0.192,520,49
0.164,522,49
1.0,523,50
1.0,524,50
2.0,525,50
2.0,526,50
1.0,527,50
1.0,528,50
1.0,529,50
1.0,530,50
39.82,532,51
3.0,533,52
2.0,534,52
1.0,535,52
1.0,536,52
2.0,537,52
0.202,538,52
1.0,539,52
1.0,540,52
1.0,541,52
1.0,542,52
3.0,543,52
3.0,544,52
2.0,545,52
1.0,546,52
1.0,547,52
3.0,548,52
1.0,549,52
3.0,550,52
4.0,551,52
1.0,552,52
2.0,553,52
2.0,554,52
1.0,555,52
1.0,556,52
1.0,557,52
1.0,558,52
1.0,559,52
0.81,560,52
0.718,561,52
1.0,562,53
1.0,563,53
2.0,378,54
0.31,564,54
1.0,565,54
1.0,566,54
2.0,377,54
1.0,567,54
1.0,503,54
2.0,568,54
1.0,569,54
1.0,570,54
2.0,571,54
2.0,572,54
1.0,573,54
1.0,574,54
2.0,575,54
1.0,576,54
1.0,577,54
1.0,578,54
0.742,579,54
1.0,580,54
2.0,581,54
1.0,582,54
1.0,583,54
1.0,584,54
3.0,585,54
0.92,586,54
8.0,587,54
2.0,588,55
3.0,590,55
2.0,591,55
1.0,592,55
4.0,593,55
1.0,594,55
0.681,595,55
1.0,596,55
1.0,597,55
2.0,598,55
1.0,599,55
1.0,600,55
4.0,601,55
2.0,602,55
1.0,603,55
1.0,604,55
1.0,605,55
1.0,606,55
2.0,607,55
4.0,608,55
10.0,609,55
5.0,610,55
5.0,370,55
1.0,611,56
1.0,612,57
1.0,613,57
1.0,614,57
1.0,615,57
1.0,616,57
1.0,617,58
1.0,618,58
2.0,619,58
1.0,620,59
1.0,621,59
1.0,622,59
1.0,623,59
1.0,624,60
1.0,625,60
0.252,626,61
1.0,627,61
1.0,628,62
2.0,630,62
1.0,605,62
1.0,632,62
1.0,604,62
1.0,633,62
1.0,373,62
1.0,634,62
2.0,635,62
1.0,636,62
1.0,637,62
1.0,638,62
2.0,639,62
2.0,640,62
1.0,641,62
0.926,642,62
1.0,643,62
1.0,607,62
8.0,644,62
1.0,645,62
1.0,646,62
1.0,647,62
1.0,648,62
1.0,649,63
1.0,650,63
1.0,651,63
2.0,652,64
1.0,625,65
1.0,653,65
1.0,654,65
1.0,655,65
1.0,656,65
1.0,657,65
1.0,658,65
1.0,659,65
1.0,660,66
1.0,661,66
1.0,662,66
1.0,663,66
1.0,664,66
1.0,665,68
1.0,666,69
1.0,667,69
4.0,668,70
4.0,669,70
1.0,670,70
1.0,671,70
1.0,672,70
3.0,673,70
2.0,674,70
1.0,675,70
3.0,676,70
1.0,677,70
1.0,678,70
1.0,679,70
1.0,680,70
1.0,681,70
1.0,682,71
1.0,683,71
1.0,685,72
1.0,686,72
1.0,687,73
1.0,688,73
1.0,689,73
1.0,690,73
1.0,691,73
3.0,692,73
1.0,693,73
4.0,694,74
2.0,640,74
1.0,697,74
2.0,698,74
2.0,602,74
1.0,699,74
2.0,700,74
1.0,701,74
1.0,702,74
0.784,703,74
0.64,704,74
6.42,705,75
7.47,706,75
1.0,707,75
0.318,708,75
1.0,709,75
1.0,710,75
1.0,711,75
2.0,712,75
1.0,713,75
1.0,714,75
2.0,715,76
1.0,716,76
1.0,717,76
1.0,718,76
1.0,719,76
